Time AreaA AreaB Total TotalA Invalid VoteA VoteB VoteC VoteD VoteE VoteF TotalB Diff Count
 			201212192103 			  			전라북도 			  			전주시덕진구 			  			112554 			  			88105 			  			203 			  			10347 			  			77282 			  			18 			  			65 			  			141 			  			49 			  			87902 			  			1991 			  			29 			 		 
 			201212192104 			  			전라북도 			  			전주시덕진구 			  			115954 			  			90663 			  			209 			  			10621 			  			79551 			  			19 			  			65 			  			148 			  			50 			  			90454 			  			2558 			  			30 			 		 
 			201212192106 			  			전라북도 			  			전주시덕진구 			  			118646 			  			92803 			  			212 			  			10841 			  			81463 			  			19 			  			65 			  			152 			  			51 			  			92591 			  			2140 			  			31 			 		 
 			201212192109 			  			전라북도 			  			전주시덕진구 			  			121674 			  			95388 			  			216 			  			11082 			  			83796 			  			19 			  			65 			  			156 			  			54 			  			95172 			  			2585 			  			32 			 		 
 			201212192111 			  			전라북도 			  			전주시덕진구 			  			124439 			  			97346 			  			221 			  			11331 			  			85496 			  			21 			  			66 			  			157 			  			54 			  			97125 			  			1958 			  			33 			 		 
 			201212192113 			  			전라북도 			  			전주시덕진구 			  			127644 			  			99911 			  			229 			  			11621 			  			87756 			  			21 			  			68 			  			161 			  			55 			  			99682 			  			2565 			  			34 			 		 
 			201212192116 			  			전라북도 			  			전주시덕진구 			  			131091 			  			102425 			  			235 			  			11903 			  			89971 			  			22 			  			70 			  			166 			  			58 			  			102190 			  			2514 			  			35 			 		 
 			201212192122 			  			전라북도 			  			전주시덕진구 			  			134900 			  			105707 			  			240 			  			12249 			  			92897 			  			22 			  			70 			  			170 			  			59 			  			105467 			  			3282 			  			36 			 		 
 			201212192123 			  			전라북도 			  			전주시덕진구 			  			138576 			  			108424 			  			247 			  			12527 			  			95314 			  			24 			  			75 			  			174 			  			63 			  			108177 			  			2717 			  			37 			 		 
 			201212192124 			  			전라북도 			  			전주시덕진구 			  			140349 			  			109697 			  			250 			  			12681 			  			96428 			  			24 			  			75 			  			175 			  			64 			  			109447 			  			1273 			  			38 			 		 
 			201212192126 			  			전라북도 			  			전주시덕진구 			  			144192 			  			112960 			  			257 			  			13029 			  			99324 			  			25 			  			78 			  			181 			  			66 			  			112703 			  			3263 			  			39 			 		 
 			201212192130 			  			전라북도 			  			전주시덕진구 			  			148659 			  			116737 			  			261 			  			13487 			  			102630 			  			25 			  			80 			  			188 			  			66 			  			116476 			  			3777 			  			40 			 		 
 			201212192131 			  			전라북도 			  			전주시덕진구 			  			152028 			  			119443 			  			269 			  			13907 			  			104903 			  			26 			  			80 			  			192 			  			66 			  			119174 			  			2706 			  			41 			 		 
 			201212192138 			  			전라북도 			  			전주시덕진구 			  			156137 			  			122374 			  			271 			  			14191 			  			107543 			  			26 			  			82 			  			194 			  			67 			  			122103 			  			2931 			  			42 			 		 
 			201212192140 			  			전라북도 			  			전주시덕진구 			  			159867 			  			125262 			  			276 			  			14476 			  			110129 			  			27 			  			87 			  			199 			  			68 			  			124986 			  			2888 			  			43 			 		 
 			201212192142 			  			전라북도 			  			전주시덕진구 			  			163895 			  			128731 			  			283 			  			14891 			  			113162 			  			27 			  			91 			  			206 			  			71 			  			128448 			  			3469 			  			44 			 		 
 			201212192143 			  			전라북도 			  			전주시덕진구 			  			169830 			  			133457 			  			291 			  			15410 			  			117344 			  			27 			  			96 			  			211 			  			78 			  			133166 			  			4726 			  			45 			 		 
 			201212192144 			  			전라북도 			  			전주시덕진구 			  			172893 			  			135834 			  			294 			  			15716 			  			119409 			  			27 			  			97 			  			213 			  			78 			  			135540 			  			2377 			  			46 			 		 
 			201212192145 			  			전라북도 			  			전주시덕진구 			  			174977 			  			137417 			  			297 			  			15980 			  			120719 			  			27 			  			99 			  			216 			  			79 			  			137120 			  			1583 			  			47 			 		 
 			201212192200 			  			전라북도 			  			전주시덕진구 			  			178404 			  			140169 			  			304 			  			16348 			  			123090 			  			27 			  			99 			  			221 			  			80 			  			139865 			  			2752 			  			48 			 		 
 			201212192201 			  			전라북도 			  			전주시덕진구 			  			182281 			  			143272 			  			310 			  			16655 			  			125875 			  			28 			  			99 			  			225 			  			80 			  			142962 			  			3103 			  			49 			 		 
 			201212192202 			  			전라북도 			  			전주시덕진구 			  			185493 			  			145585 			  			313 			  			16918 			  			127914 			  			29 			  			100 			  			228 			  			83 			  			145272 			  			2313 			  			50 			 		 
 			201212192204 			  			전라북도 			  			전주시덕진구 			  			191948 			  			150928 			  			321 			  			17507 			  			132647 			  			29 			  			101 			  			237 			  			86 			  			150607 			  			5343 			  			51 			 		 
 			201212192206 			  			전라북도 			  			전주시덕진구 			  			196487 			  			154772 			  			328 			  			17937 			  			136044 			  			29 			  			103 			  			244 			  			87 			  			154444 			  			3844 			  			52 			 		 
 			201212192207 			  			전라북도 			  			전주시덕진구 			  			200395 			  			157416 			  			335 			  			18228 			  			138385 			  			29 			  			104 			  			246 			  			89 			  			157081 			  			2644 			  			53 			 		 
 			201212192212 			  			전라북도 			  			전주시덕진구 			  			204360 			  			160663 			  			341 			  			18525 			  			141325 			  			30 			  			106 			  			247 			  			89 			  			160322 			  			3247 			  			54 			 		 
 			201212192219 			  			전라북도 			  			전주시덕진구 			  			208069 			  			163580 			  			345 			  			18800 			  			143959 			  			30 			  			107 			  			248 			  			91 			  			163235 			  			2917 			  			55 			 		 
 			201212192222 			  			전라북도 			  			전주시덕진구 			  			211466 			  			166493 			  			357 			  			19168 			  			146482 			  			32 			  			108 			  			254 			  			92 			  			166136 			  			2913 			  			56 			 		 
 			201212192238 			  			전라북도 			  			전주시덕진구 			  			217955 			  			172431 			  			420 			  			20283 			  			151196 			  			39 			  			117 			  			268 			  			108 			  			172011 			  			5938 			  			57 			 		 
